step,beta,energy,rho,type
317,0.730893,222,1625.36,step
317,0.730893,222,1625.36,fracture_detected
318,0.732883,222,719.018,step
318,0.732883,222,719.018,fracture_detected
319,0.734873,222,97.7409,step
319,0.734873,222,97.7409,fracture_detected
320,0.736864,222,5862.14,step
320,0.736864,222,5862.14,fracture_detected
321,0.738854,222,1417.7,step
321,0.738854,222,1417.7,fracture_detected
322,0.740844,222,5248.6,step
322,0.740844,222,5248.6,fracture_detected
323,0.742834,222,438.746,step
323,0.742834,222,438.746,fracture_detected
324,0.744824,222,3882.99,step
324,0.744824,222,3882.99,fracture_detected
325,0.746815,222,3370.17,step
325,0.746815,222,3370.17,fracture_detected
326,0.748805,222,252.276,step
326,0.748805,222,252.276,fracture_detected
327,0.750795,222,615.404,step
327,0.750795,222,615.404,fracture_detected
328,0.752785,222,1650.65,step
328,0.752785,222,1650.65,fracture_detected
329,0.754775,222,5580.45,step
329,0.754775,222,5580.45,fracture_detected
330,0.756766,222,3166.3,step
330,0.756766,222,3166.3,fracture_detected
331,0.758756,222,516.386,step
331,0.758756,222,516.386,fracture_detected
332,0.760746,222,1406.9,step
332,0.760746,222,1406.9,fracture_detected
333,0.762736,222,895.673,step
333,0.762736,222,895.673,fracture_detected
334,0.764726,222,913.599,step
334,0.764726,222,913.599,fracture_detected
335,0.766717,222,618.014,step
335,0.766717,222,618.014,fracture_detected
336,0.768707,222,499.392,step
336,0.768707,222,499.392,fracture_detected
337,0.770697,222,2084.75,step
337,0.770697,222,2084.75,fracture_detected
338,0.772687,222,1077.8,step
338,0.772687,222,1077.8,fracture_detected
339,0.774677,222,3414.05,step
339,0.774677,222,3414.05,fracture_detected
340,0.776668,222,952.701,step
340,0.776668,222,952.701,fracture_detected
341,0.778658,222,10313.2,step
341,0.778658,222,10313.2,fracture_detected
342,0.780648,222,12831.9,step
342,0.780648,222,12831.9,fracture_detected
343,0.782638,222,7207.15,step
343,0.782638,222,7207.15,fracture_detected
344,0.784628,222,1334.96,step
344,0.784628,222,1334.96,fracture_detected
345,0.786619,222,4193.6,step
345,0.786619,222,4193.6,fracture_detected
346,0.788609,222,145.322,step
346,0.788609,222,145.322,fracture_detected
347,0.790599,222,228.169,step
347,0.790599,222,228.169,fracture_detected
348,0.792589,222,1721.4,step
348,0.792589,222,1721.4,fracture_detected
349,0.794579,222,638.917,step
349,0.794579,222,638.917,fracture_detected
350,0.79657,222,551.159,step
350,0.79657,222,551.159,fracture_detected
351,0.79856,222,5241.88,step
351,0.79856,222,5241.88,fracture_detected
352,0.80055,222,9985.08,step
352,0.80055,222,9985.08,fracture_detected
353,0.80254,222,3451.75,step
353,0.80254,222,3451.75,fracture_detected
354,0.80453,222,8317.52,step
354,0.80453,222,8317.52,fracture_detected
355,0.806521,222,4638.15,step
355,0.806521,222,4638.15,fracture_detected
356,0.808511,222,5163.76,step
356,0.808511,222,5163.76,fracture_detected
357,0.810501,222,14402.8,step
357,0.810501,222,14402.8,fracture_detected
358,0.812491,222,11242.5,step
358,0.812491,222,11242.5,fracture_detected
359,0.814481,222,3841.31,step
359,0.814481,222,3841.31,fracture_detected
360,0.816472,222,2632.7,step
360,0.816472,222,2632.7,fracture_detected
361,0.818462,222,3933.15,step
361,0.818462,222,3933.15,fracture_detected
362,0.820452,222,2696.01,step
362,0.820452,222,2696.01,fracture_detected
363,0.822442,222,3453.69,step
363,0.822442,222,3453.69,fracture_detected
364,0.824432,222,3137.59,step
364,0.824432,222,3137.59,fracture_detected
365,0.826423,222,5220.03,step
365,0.826423,222,5220.03,fracture_detected
366,0.828413,222,1493.73,step
366,0.828413,222,1493.73,fracture_detected
367,0.830403,222,5561.39,step
367,0.830403,222,5561.39,fracture_detected
368,0.832393,222,2312.05,step
368,0.832393,222,2312.05,fracture_detected
369,0.834383,222,3209.44,step
369,0.834383,222,3209.44,fracture_detected
370,0.836374,222,3435.24,step
370,0.836374,222,3435.24,fracture_detected
371,0.838364,222,1319.44,step
371,0.838364,222,1319.44,fracture_detected
372,0.840354,222,7674.03,step
372,0.840354,222,7674.03,fracture_detected
373,0.842344,222,1935.94,step
373,0.842344,222,1935.94,fracture_detected
374,0.844334,222,671.296,step
374,0.844334,222,671.296,fracture_detected
375,0.846325,222,1515.82,step
375,0.846325,222,1515.82,fracture_detected
376,0.848315,222,4427.07,step
376,0.848315,222,4427.07,fracture_detected
377,0.850305,222,7086.66,step
377,0.850305,222,7086.66,fracture_detected
378,0.852295,222,850.94,step
